Name,Rating,Review Title,Review Date,Review Content
Pirat,5.0 out of 5 stars,Amazing,Reviewed in the United Kingdom on 21 November 2020,"I was waiting for this console ages and I was lucky to receive on day one. Absolutely amazing, its significantly faster then PS4, all games loads really really fast. The biggest surprise its how this console is quite, absolutely no sound, from time to time you can only hear CD spines for few seconds. For me only 1 disadvantage, size of HDD, however it will be able to upgrade in the future."
Dreamz,5.0 out of 5 stars,It's a PS5 - what else is there to say? :-),Reviewed in the United Kingdom on 27 December 2020,"Was my sons 18th birthday recently, couldn't find one anywhere, daily I was refreshing Amazon and suddenly the buy it now option appeared... not believing my eyes, I left the page and went back in - out of stock again... a glitch I thought... so kept refreshing and it appeared again!Needless to say, my son was very surprised on his 18th (especially as we led him to believe we'd bought him a PS4 pro to replace his aging PS4! haha)"
Mr. Leigh C. Butler,4.0 out of 5 stars,Brilliant,Reviewed in the United Kingdom on 20 November 2020,Received mine yesterday and all I can say is I'm loving it so far.Played God of War & Bloodborne and the performance increase is incredible. The dual sense controller is also fantastic.Really looking forward to the next generation of gaming as more games come out in the next few years.Must say I would have given this console 5 stars but the disk storage I can see being a little problematic for me.During the PS5 setup you can transfer your existing games over from your ps4 pro for which has 1TB of storage. If I had transferred everything as is then I would have been left with 100GB of free disk space on the PS5. For a brand new console this is slightly frustrating. But still a great console nonetheless.
Andy,5.0 out of 5 stars,PS5 outta 5,Reviewed in the United Kingdom on 21 March 2021,"Love it. Took a while to get hold of one but now I’ve got one it’s amazing. Loading times of PS5 games is immense, graphics not exactly a giant leap but having 60fps is cool. Not got any 120fps games yet. Best thing is the controller... wow! Words cannot describe how amazing it is fully demonstrated with Astro’s playroom. Can’t wait for more games to utilise the haptics/adaptive triggers."
Jonathan Ward,5.0 out of 5 stars,"Amazing, truly next gen, not stolen",Reviewed in the United Kingdom on 12 December 2020,"The PS5 is amazing, the controller is truly next gen with the adaptive triggers and haptic feedback. I was literally blown away with how next gen it makes the whole experience feel. Ray tracing looks stunning on a 4k TV.Also my playstation wasn't stolen by the delivery driver so thats a bonus!"
Sahar Mahmood,5.0 out of 5 stars,PlayStation 5 Console is simply incredible,Reviewed in the United Kingdom on 24 March 2021,"The best PlayStation console ever. The load times. performance beast. Beautiful graphics, stunning games, fast ui, it’s very quiet, incredible controller. This is an amazing console and definitely worth it. I have got every single PlayStation console PS1 PS2 PS3 PSP PS4 & PS5. PlayStation has given me decades of unforgettable gaming moments. And this is just the start of the PS5 journey, it still has many years to go and many great games to come out and play. I also cannot wait for Sony to enable internal ssd to allow larger storage for games. And also the amazing upcoming games. This is PlayStation and play has no limits."
R. GROAT,5.0 out of 5 stars,PS5 premium console,Reviewed in the United Kingdom on 24 November 2020,"Fantastic console feels amazing premium product in build. Amazing controller you feel everything......wow.Great to get a week later than rest of world, so everything patched giving me no problems. Can't wait for all the proper built from the ground up PS5 games to come out. No rush as loving Assassin's Creed Valhalla and it's a big title."
Anna,5.0 out of 5 stars,Andy best deliveey driver in the World.,Reviewed in the United Kingdom on 18 March 2021,"Perfect product but better was driver called Andy as he gone Above and Beyond to get this parcel delivered for me. My one time passcode does not work properly, customer services would not help a lot but he managed after time spend with me to reset his device and code was accepted! Thank you very much Andy, you made one kid very happy tonight! Pay rise for Andy would be great Amazon, drivers like that must be praised by you. Very happy customer :)"
Mr. J. J. Proctor,5.0 out of 5 stars,PS5 Thee only one console,Reviewed in the United Kingdom on 20 November 2020,"This has to be the best console out there, so quiet, and blisteringly quick!!! Game Load's are seconds, Demons Souls is unbelievably smooth and the graphics are outstanding, the haptic feedback is such a good addition, when the triggers are normal, then the become like a trigger with real pressure, get one when you can !!!!"
Luke douglas,1.0 out of 5 stars,Malfunctioning controller,Reviewed in the United Kingdom on 18 January 2021,Controllers already playing up dont purchase
voice of reason,5.0 out of 5 stars,Noice 😉,Reviewed in the United Kingdom on 17 December 2020,I was so pleased to be offered the early release of the ps5 and I haven’t been disappointed. No crashes or issues so far🤞🏻 It’s a vast improvement on the PS4 with very noticeable speed and graphics improvements. The dual sense is a joy to behold 😉 I’m looking forward to many an hour with my new bestie 😜
Martin Greig,4.0 out of 5 stars,It is a big beast,Reviewed in the United Kingdom on 22 November 2020,"What can I say? The console is a monster.  The controller is an amazing feature in itself.  The size of the machine took me by surprise despite all of the previous videos and information released.  Knocked one star off due to the memory. 865gb, which only 625 can be used..  looks like I’ll be investing in an external HDD as well"
Steven P.,5.0 out of 5 stars,Amazing!,Reviewed in the United Kingdom on 1 December 2020,"Easy to set up from the PS 4. The colour and detail in the games - even the PS4 ones Is soooo much better. I’ve not used anywhere near its capacity and apart from it being enormous - so much bigger than anything else released by PlayStation, I can’t fault it at the mo. The controller is a nice weight and appears to be really sturdy."
MO Young,5.0 out of 5 stars,Absolutely worth the money!!,Reviewed in the United Kingdom on 8 March 2021,Somehow managed to order one and it arrived within a few days. I had my PS4 from the release date and the difference is noticeable. Absolutely silent when you turn it on unlike the jet engine PS4.Cant wait for games to come out that make use of the extra capabilities!! The controller is next level too and really adds to the gaming experience!I would 100% recommend this if you can manage to get hold of one!!
